#TYPE System.Diagnostics.Process
__NounName,Name,Handles,VM,WS,PM,NPM,Path,Company,CPU,FileVersion,ProductVersion,Description,Product,BasePriority,ExitCode,HasExited,ExitTime,Handle,HandleCount,Id,MachineName,MainWindowHandle,MainWindowTitle,MainModule,MaxWorkingSet,MinWorkingSet,Modules,NonpagedSystemMemorySize,NonpagedSystemMemorySize64,PagedMemorySize,PagedMemorySize64,PagedSystemMemorySize,PagedSystemMemorySize64,PeakPagedMemorySize,PeakPagedMemorySize64,PeakWorkingSet,PeakWorkingSet64,PeakVirtualMemorySize,PeakVirtualMemorySize64,PriorityBoostEnabled,PriorityClass,PrivateMemorySize,PrivateMemorySize64,PrivilegedProcessorTime,ProcessName,ProcessorAffinity,Responding,SessionId,StartInfo,StartTime,SynchronizingObject,Threads,TotalProcessorTime,UserProcessorTime,VirtualMemorySize,VirtualMemorySize64,EnableRaisingEvents,StandardInput,StandardOutput,StandardError,WorkingSet,WorkingSet64,Site,Container
Process,csrss,448,110882816,5148672,1671168,5112,C:\Windows\system32\csrss.exe,"Microsoft Corporation",0.624004,"6.0.6000.16386 (vista_rtm.061101-2205)",6.0.6000.16386,"Client Server Runtime Process","Microsoft? Windows? Operating System",13,,False,,1180,448,488,.,0,,"System.Diagnostics.ProcessModule (csrss.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,5112,5112,1671168,1671168,238464,238464,1744896,1744896,5152768,5152768,118558720,118558720,True,Normal,1671168,1671168,00:00:00.5304034,csrss,1,True,0,System.Diagnostics.ProcessStartInfo,"3/10/2019 12:15:46 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.6240040,00:00:00.0936006,110882816,110882816,False,,,,5148672,5148672,,
Process,csrss,203,126017536,13410304,13045760,7688,C:\Windows\system32\csrss.exe,"Microsoft Corporation",1.1700075,"6.0.6000.16386 (vista_rtm.061101-2205)",6.0.6000.16386,"Client Server Runtime Process","Microsoft? Windows? Operating System",13,,False,,640,203,532,.,0,,"System.Diagnostics.ProcessModule (csrss.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,7688,7688,13045760,13045760,231056,231056,13045760,13045760,17367040,17367040,166772736,166772736,True,Normal,13045760,13045760,00:00:01.0920070,csrss,1,True,1,System.Diagnostics.ProcessStartInfo,"3/10/2019 12:15:47 PM",,System.Diagnostics.ProcessThreadCollection,00:00:01.1700075,00:00:00.0780005,126017536,126017536,False,,,,13410304,13410304,,
Process,dllhost,252,68243456,12554240,5918720,7904,C:\Windows\system32\dllhost.exe,"Microsoft Corporation",0.468003,"6.0.6000.16386 (vista_rtm.061101-2205)",6.0.6000.16386,"COM Surrogate","Microsoft? Windows? Operating System",8,,False,,400,252,1636,.,0,,"System.Diagnostics.ProcessModule (dllhost.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,7904,7904,5918720,5918720,112048,112048,6041600,6041600,12623872,12623872,69046272,69046272,True,Normal,5918720,5918720,00:00:00.2496016,dllhost,1,True,0,System.Diagnostics.ProcessStartInfo,"3/10/2019 12:15:54 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.4680030,00:00:00.2184014,68243456,68243456,False,,,,12554240,12554240,,
Process,dwm,78,49139712,4116480,1323008,3112,C:\Windows\system32\Dwm.exe,"Microsoft Corporation",0.0936006,"6.0.6000.16386 (vista_rtm.061101-2205)",6.0.6000.16386,"Desktop Window Manager","Microsoft? Windows? Operating System",8,,False,,1976,78,1760,.,0,,"System.Diagnostics.ProcessModule (Dwm.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,3112,3112,1323008,1323008,93464,93464,2838528,2838528,5070848,5070848,67207168,67207168,True,Normal,1323008,1323008,00:00:00.0780005,dwm,1,True,1,System.Diagnostics.ProcessStartInfo,"3/10/2019 12:15:52 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.0936006,00:00:00.0156001,49139712,49139712,False,,,,4116480,4116480,,
Process,explorer,472,163106816,26566656,17842176,13312,C:\Windows\Explorer.EXE,"Microsoft Corporation",5.4444349,"6.0.6000.16386 (vista_rtm.061101-2205)",6.0.6000.16386,"Windows Explorer","Microsoft? Windows? Operating System",8,,False,,1784,472,1876,.,65608,,"System.Diagnostics.ProcessModule (Explorer.EXE)",1413120,204800,System.Diagnostics.ProcessModuleCollection,13312,13312,17842176,17842176,276888,276888,19787776,19787776,27525120,27525120,186400768,186400768,True,Normal,17842176,17842176,00:00:02.7768178,explorer,1,True,1,System.Diagnostics.ProcessStartInfo,"3/10/2019 12:15:52 PM",,System.Diagnostics.ProcessThreadCollection,00:00:05.4444349,00:00:02.6676171,163106816,163106816,False,,,,26566656,26566656,,
Process,Idle,0,0,24576,0,0,,,,,,,,0,,,,,0,0,.,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,Idle,,True,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,0,0,False,,,,24576,24576,,
Process,ieuser,235,85172224,9404416,3805184,6264,"C:\Program Files\Internet Explorer\ieuser.exe","Microsoft Corporation",0.2184014,"6.0.6000.16386 (vista_rtm.061101-2205)",6.0.6000.16386,"Internet Explorer","Microsoft? Windows? Operating System",8,,False,,1788,235,3556,.,0,,"System.Diagnostics.ProcessModule (ieuser.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,6264,6264,3805184,3805184,159640,159640,3944448,3944448,9445376,9445376,87085056,87085056,True,Normal,3805184,3805184,00:00:00.1716011,ieuser,1,True,1,System.Diagnostics.ProcessStartInfo,"3/10/2019 12:17:53 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.2184014,00:00:00.0468003,85172224,85172224,False,,,,9404416,9404416,,
Process,lsass,640,48046080,8949760,3534848,10200,C:\Windows\system32\lsass.exe,"Microsoft Corporation",0.8892057,"6.0.6000.16386 (vista_rtm.061101-2205)",6.0.6000.16386,"Local Security Authority Process","Microsoft? Windows? Operating System",9,,False,,1780,640,632,.,0,,"System.Diagnostics.ProcessModule (lsass.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,10200,10200,3534848,3534848,96248,96248,3604480,3604480,8986624,8986624,48656384,48656384,True,Normal,3534848,3534848,00:00:00.2808018,lsass,1,True,0,System.Diagnostics.ProcessStartInfo,"3/10/2019 12:15:48 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.8892057,00:00:00.6084039,48046080,48046080,False,,,,8949760,8949760,,
Process,lsm,167,30699520,4001792,1732608,3496,C:\Windows\system32\lsm.exe,"Microsoft Corporation",0.0156001,"6.0.6001.18000 (longhorn_rtm.080118-1840)",6.0.6001.18000,"Local Session Manager Service","Microsoft? Windows? Operating System",8,,False,,1532,167,640,.,0,,"System.Diagnostics.ProcessModule (lsm.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,3496,3496,1732608,1732608,58568,58568,1757184,1757184,4030464,4030464,31354880,31354880,True,Normal,1732608,1732608,00:00:00.0156001,lsm,1,True,0,System.Diagnostics.ProcessStartInfo,"3/10/2019 12:15:48 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.0156001,00:00:00,30699520,30699520,False,,,,4001792,4001792,,
Process,mscorsvw,93,32043008,5808128,1986560,3424,C:\Windows\Microsoft.NET\Framework\v2.0.50727\mscorsvw.exe,"Microsoft Corporation",0.1248008,"2.0.50727.1434 (REDBITS.050727-1400)",2.0.50727.1434,".NET Runtime Optimization Service","Microsoft? .NET Framework",8,,False,,1512,93,3164,.,0,,"System.Diagnostics.ProcessModule (mscorsvw.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,3424,3424,1986560,1986560,56448,56448,2027520,2027520,5869568,5869568,37408768,37408768,True,Normal,1986560,1986560,00:00:00.1248008,mscorsvw,1,True,0,System.Diagnostics.ProcessStartInfo,"3/10/2019 12:19:14 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.1248008,00:00:00,32043008,32043008,False,,,,5808128,5808128,,
