#TYPE System.ServiceProcess.ServiceController
Name,CanPauseAndContinue,CanShutdown,CanStop,DisplayName,DependentServices,MachineName,ServiceName,ServicesDependedOn,ServiceHandle,Status,ServiceType,Site,Container
AeLookupSvc,False,False,True,"Application Experience",System.ServiceProcess.ServiceController[],.,AeLookupSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
ALG,False,False,False,"Application Layer Gateway Service",System.ServiceProcess.ServiceController[],.,ALG,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
Appinfo,False,False,True,"Application Information",System.ServiceProcess.ServiceController[],.,Appinfo,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
AppMgmt,False,False,False,"Application Management",System.ServiceProcess.ServiceController[],.,AppMgmt,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
AudioEndpointBuilder,False,False,False,"Windows Audio Endpoint Builder",System.ServiceProcess.ServiceController[],.,AudioEndpointBuilder,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
Audiosrv,False,False,False,"Windows Audio",System.ServiceProcess.ServiceController[],.,Audiosrv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
BFE,False,False,True,"Base Filtering Engine",System.ServiceProcess.ServiceController[],.,BFE,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
BITS,False,True,True,"Background Intelligent Transfer Service",System.ServiceProcess.ServiceController[],.,BITS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
Browser,False,False,False,"Computer Browser",System.ServiceProcess.ServiceController[],.,Browser,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
CertPropSvc,False,False,False,"Certificate Propagation",System.ServiceProcess.ServiceController[],.,CertPropSvc,System.ServiceProcess.ServiceController[],,Stopped,Win32ShareProcess,,
clr_optimization_v2.0.50727_32,True,True,True,"Microsoft .NET Framework NGEN v2.0.50727_X86",System.ServiceProcess.ServiceController[],.,clr_optimization_v2.0.50727_32,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
COMSysApp,False,False,True,"COM+ System Application",System.ServiceProcess.ServiceController[],.,COMSysApp,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
CryptSvc,False,True,True,"Cryptographic Services",System.ServiceProcess.ServiceController[],.,CryptSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
CscService,False,False,False,"Offline Files",System.ServiceProcess.ServiceController[],.,CscService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
DcomLaunch,False,False,False,"DCOM Server Process Launcher",System.ServiceProcess.ServiceController[],.,DcomLaunch,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
Dhcp,False,True,True,"DHCP Client",System.ServiceProcess.ServiceController[],.,Dhcp,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
Dnscache,False,False,True,"DNS Client",System.ServiceProcess.ServiceController[],.,Dnscache,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
dot3svc,False,False,False,"Wired AutoConfig",System.ServiceProcess.ServiceController[],.,dot3svc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
DPS,False,True,True,"Diagnostic Policy Service",System.ServiceProcess.ServiceController[],.,DPS,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
EapHost,False,False,False,"Extensible Authentication Protocol",System.ServiceProcess.ServiceController[],.,EapHost,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
EventLog,False,True,True,"Windows Event Log",System.ServiceProcess.ServiceController[],.,EventLog,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
EventSystem,False,False,True,"COM+ Event System",System.ServiceProcess.ServiceController[],.,EventSystem,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
FCRegSvc,False,False,False,"Microsoft Fibre Channel Platform Registration Service",System.ServiceProcess.ServiceController[],.,FCRegSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
fdPHost,False,False,False,"Function Discovery Provider Host",System.ServiceProcess.ServiceController[],.,fdPHost,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
FDResPub,False,False,False,"Function Discovery Resource Publication",System.ServiceProcess.ServiceController[],.,FDResPub,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
gpsvc,False,False,True,"Group Policy Client",System.ServiceProcess.ServiceController[],.,gpsvc,System.ServiceProcess.ServiceController[],,Running,Win32OwnProcess,,
hidserv,False,False,False,"Human Interface Device Access",System.ServiceProcess.ServiceController[],.,hidserv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
hkmsvc,False,False,False,"Health Key and Certificate Management",System.ServiceProcess.ServiceController[],.,hkmsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
IKEEXT,False,True,True,"IKE and AuthIP IPsec Keying Modules",System.ServiceProcess.ServiceController[],.,IKEEXT,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
IPBusEnum,False,False,False,"PnP-X IP Bus Enumerator",System.ServiceProcess.ServiceController[],.,IPBusEnum,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
iphlpsvc,False,True,True,"IP Helper",System.ServiceProcess.ServiceController[],.,iphlpsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
KeyIso,False,False,False,"CNG Key Isolation",System.ServiceProcess.ServiceController[],.,KeyIso,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
KtmRm,False,False,True,"KtmRm for Distributed Transaction Coordinator",System.ServiceProcess.ServiceController[],.,KtmRm,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
LanmanServer,True,True,True,Server,System.ServiceProcess.ServiceController[],.,LanmanServer,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
LanmanWorkstation,True,True,True,Workstation,System.ServiceProcess.ServiceController[],.,LanmanWorkstation,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
lltdsvc,False,False,False,"Link-Layer Topology Discovery Mapper",System.ServiceProcess.ServiceController[],.,lltdsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
