#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"cmd","1","41","2199043215360","3010560","1597440","3520","C:\Windows\system32\cmd.exe","Microsoft Corporation","0","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Windows Command Processor","Microsoft? Windows? Operating System","Process","8",,"False",,"1944","Microsoft.Win32.SafeHandles.SafeProcessHandle","41","2848",".","262178","Administrator: C:\Windows\system32\cmd.exe - powershell","System.Diagnostics.ProcessModule (cmd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","3520","3520","1597440","1597440","35032","35032","2777088","2777088","3014656","3014656","21008384","2199044263936","True","Normal","1597440","1597440","00:00:00","cmd","1","True","1","System.Diagnostics.ProcessStartInfo","3/10/2019 10:09:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","00:00:00","19959808","2199043215360","False",,,,"3010560","3010560",,
"conhost","1","105","2199145295872","11878400","5525504","9904","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.21875","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"1984","Microsoft.Win32.SafeHandles.SafeProcessHandle","105","2856",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9904","9904","5525504","5525504","232648","232648","5525504","5525504","11878400","11878400","122040320","2199145295872","True","Normal","5525504","5525504","00:00:00.2187500","conhost","1","True","1","System.Diagnostics.ProcessStartInfo","3/10/2019 10:09:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00","122040320","2199145295872","False",,,,"11878400","11878400",,
"csrss","0","262","2199075753984","4538368","1851392","11064",,,"0.265625",,,,,"Process","13",,,,,,"262","572",".","0","",,,,,"11064","11064","1851392","1851392","142368","142368","1908736","1908736","4558848","4558848","52826112","2199076081664",,,"1851392","1851392","00:00:00.2031250","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 10:08:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2656250","00:00:00.0625000","52498432","2199075753984","False",,,,"4538368","4538368",,
"csrss","1","168","2199086129152","17891328","1851392","13944",,,"0.25",,,,,"Process","13",,,,,,"168","652",".","0","",,,,,"13944","13944","1851392","1851392","144032","144032","1851392","1851392","17895424","17895424","63397888","2199086653440",,,"1851392","1851392","00:00:00.2343750","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","3/10/2019 10:08:13 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2500000","00:00:00.0156250","62873600","2199086129152","False",,,,"17891328","17891328",,
"dllhost","0","257","2199129288704","13328384","3915776","16280","C:\Windows\system32\dllhost.exe","Microsoft Corporation","0.09375","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"2284","Microsoft.Win32.SafeHandles.SafeProcessHandle","257","1812",".","0","","System.Diagnostics.ProcessModule (dllhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16280","16280","3915776","3915776","185840","185840","4022272","4022272","13357056","13357056","108130304","2199131385856","True","Normal","3915776","3915776","00:00:00.0625000","dllhost","1","True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 10:08:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0312500","106033152","2199129288704","False",,,,"13328384","13328384",,
"dllhost","0","249","2199089405952","13303808","4079616","14736","C:\Windows\system32\dllhost.exe","Microsoft Corporation","0.140625","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"2316","Microsoft.Win32.SafeHandles.SafeProcessHandle","249","2000",".","0","","System.Diagnostics.ProcessModule (dllhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14736","14736","4079616","4079616","90504","90504","4132864","4132864","13320192","13320192","67198976","2199090454528","True","Normal","4079616","4079616","00:00:00.0625000","dllhost","1","True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 10:08:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0781250","66150400","2199089405952","False",,,,"13303808","13303808",,
"Idle","0","0","65536","4096","0","0",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"0","0","0","0","0","0","0","0","4096","4096","65536","65536",,,"0","0",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"65536","65536","False",,,,"4096","4096",,
"lsass","0","801","2199072710656","12238848","4288512","20384","C:\Windows\system32\lsass.exe","Microsoft Corporation","0.1875","10.0.14393.187 (rs1_release_inmarket.160906-1818)","10.0.14393.187","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"2376","Microsoft.Win32.SafeHandles.SafeProcessHandle","801","776",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20384","20384","4288512","4288512","113512","113512","4587520","4587520","12775424","12775424","52154368","2199075409920","True","Normal","4288512","4288512","00:00:00.0937500","lsass","1","True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 10:08:13 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.0937500","49455104","2199072710656","False",,,,"12238848","12238848",,
"msdtc","0","207","2199074414592","10371072","2990080","13616","C:\Windows\System32\msdtc.exe","Microsoft Corporation","0.234375","2001.12.10941.16384 (rs1_release.160715-1616)","10.0.14393.0","Microsoft Distributed Transaction Coordinator Service","Microsoft? Windows? Operating System","Process","8",,"False",,"2408","Microsoft.Win32.SafeHandles.SafeProcessHandle","207","2184",".","0","","System.Diagnostics.ProcessModule (msdtc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13616","13616","2990080","2990080","86000","86000","3026944","3026944","10391552","10391552","51683328","2199074938880","True","Normal","2990080","2990080","00:00:00.2031250","msdtc","1","True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 10:08:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.0312500","51159040","2199074414592","False",,,,"10371072","10371072",,
"MsMpEng","0","584","2199431708672","78798848","100716544","59304",,,"2.890625",,,,,"Process","8",,,,,,"584","1484",".","0","",,,,,"59304","59304","100716544","100716544","588032","588032","127922176","127922176","130891776","130891776","416985088","2199440240640",,,"100716544","100716544","00:00:00.5156250","MsMpEng",,"True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 10:08:15 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.8906250","00:00:02.3750000","408453120","2199431708672","False",,,,"78798848","78798848",,
