#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","1","322","2203566137344","1863680","7012352","19640","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.4375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"1832","Microsoft.Win32.SafeHandles.SafeProcessHandle","322","4800",".","65984","Microsoft Edge","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19640","19640","7012352","7012352","357728","357728","12722176","12722176","32620544","32620544","253972480","2203572195328","True","Normal","7012352","7012352","00:00:00.3593750","ApplicationFrameHost","1","True","1","System.Diagnostics.ProcessStartInfo","3/10/2019 9:10:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4375000","00:00:00.0781250","247914496","2203566137344","False",,,,"1863680","1863680",,
"audiodg","0","179","2203404599296","794624","6430720","10736","C:\Windows\system32\AUDIODG.EXE","Microsoft Corporation","0.0625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"2988","Microsoft.Win32.SafeHandles.SafeProcessHandle","179","7504",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","10276864","9068544","System.Diagnostics.ProcessModuleCollection","10736","10736","6430720","6430720","96136","96136","7225344","7225344","10276864","10276864","87785472","2203406008320","True","Normal","6430720","6430720","00:00:00.0625000","audiodg","1","True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 9:11:23 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00","86376448","2203404599296","False",,,,"794624","794624",,
"backgroundTaskHost","1","573","2203533824000","999424","7806976","27392","C:\Windows\system32\backgroundTaskHost.exe","Microsoft Corporation","0.859375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2920","Microsoft.Win32.SafeHandles.SafeProcessHandle","573","4368",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27392","27392","7806976","7806976","356552","356552","8417280","8417280","29302784","29302784","215601152","2203533824000","True","Normal","7806976","7806976","00:00:00.5312500","backgroundTaskHost","1","True","1","System.Diagnostics.ProcessStartInfo","3/10/2019 9:10:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8593750","00:00:00.3281250","215601152","2203533824000","False",,,,"999424","999424",,
"backgroundTaskHost","1","163","2203858399232","0","5980160","21944","C:\Windows\system32\backgroundTaskHost.exe","Microsoft Corporation","0.15625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2896","Microsoft.Win32.SafeHandles.SafeProcessHandle","163","5128",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21944","21944","5980160","5980160","154520","154520","6103040","6103040","14127104","14127104","541224960","2203859447808","True","Normal","5980160","5980160","00:00:00.1093750","backgroundTaskHost","1","True","1","System.Diagnostics.ProcessStartInfo","3/10/2019 9:10:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0468750","540176384","2203858399232","False",,,,"0","0",,
"backgroundTaskHost","1","228","2203895963648","0","7204864","26280","C:\Windows\system32\backgroundTaskHost.exe","Microsoft Corporation","0.109375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2808","Microsoft.Win32.SafeHandles.SafeProcessHandle","228","5172",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26280","26280","7204864","7204864","225272","225272","7204864","7204864","19095552","19095552","577740800","2203895963648","True","Normal","7204864","7204864","00:00:00.0781250","backgroundTaskHost","1","True","1","System.Diagnostics.ProcessStartInfo","3/10/2019 9:10:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0312500","577740800","2203895963648","False",,,,"0","0",,
"browser_broker","1","358","2203443314688","2179072","3641344","16936","C:\Windows\system32\browser_broker.exe","Microsoft Corporation","0.140625","11.00.17763.1 (WinBuild.160101.0800)","11.00.17763.1","Browser_Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"2020","Microsoft.Win32.SafeHandles.SafeProcessHandle","358","4972",".","0","","System.Diagnostics.ProcessModule (browser_broker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16936","16936","3641344","3641344","188960","188960","3710976","3710976","11939840","11939840","137691136","2203455913984","True","Normal","3641344","3641344","00:00:00.0625000","browser_broker","1","True","1","System.Diagnostics.ProcessStartInfo","3/10/2019 9:10:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0781250","125091840","2203443314688","False",,,,"2179072","2179072",,
"CompatTelRunner","0","209","2203436941312","5689344","2383872","12272","C:\Windows\system32\CompatTelRunner.exe","Microsoft Corporation","0.03125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Microsoft Compatibility Telemetry","Microsoft? Windows? Operating System","Process","4",,"False",,"2724","Microsoft.Win32.SafeHandles.SafeProcessHandle","209","6892",".","0","","System.Diagnostics.ProcessModule (CompatTelRunner.exe)","33554432","204800","System.Diagnostics.ProcessModuleCollection","12272","12272","2383872","2383872","163216","163216","2383872","2383872","8548352","8548352","118718464","2203436941312","True","Idle","2383872","2383872","00:00:00.0312500","CompatTelRunner","1","True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 9:12:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","118718464","2203436941312","False",,,,"5689344","5689344",,
"CompatTelRunner","0","100","2203374972928","917504","991232","5296","C:\Windows\system32\compattelrunner.exe","Microsoft Corporation","0.03125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Microsoft Compatibility Telemetry","Microsoft? Windows? Operating System","Process","4",,"False",,"2864","Microsoft.Win32.SafeHandles.SafeProcessHandle","100","6984",".","0","","System.Diagnostics.ProcessModule (compattelrunner.exe)","33554432","204800","System.Diagnostics.ProcessModuleCollection","5296","5296","991232","991232","40144","40144","991232","991232","4120576","4120576","56942592","2203375165440","True","Idle","991232","991232","00:00:00.0312500","CompatTelRunner","1","True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 9:12:32 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","56750080","2203374972928","False",,,,"917504","917504",,
"conhost","0","146","2203430346752","548864","6561792","9504","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.171875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3024","Microsoft.Win32.SafeHandles.SafeProcessHandle","146","3524",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9504","9504","6561792","6561792","142184","142184","6590464","6590464","12288000","12288000","113520640","2203431743488","True","Normal","6561792","6561792","00:00:00.1406250","conhost","1","True","0","System.Diagnostics.ProcessStartInfo","3/10/2019 9:09:49 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.0312500","112123904","2203430346752","False",,,,"548864","548864",,
"conhost","1","119","2203444961280","430080","6402048","8144","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.15625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3116","Microsoft.Win32.SafeHandles.SafeProcessHandle","119","4020",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8144","8144","6402048","6402048","167288","167288","6430720","6430720","10895360","10895360","127262720","2203445485568","True","Normal","6402048","6402048","00:00:00.1250000","conhost","1","True","1","System.Diagnostics.ProcessStartInfo","3/10/2019 9:09:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0312500","126738432","2203444961280","False",,,,"430080","430080",,
